NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Waterfront Apartment City Centre -(Apt C) -Parking,IE,Ireland,53.34763956,-6.29384785,Entire home/apt,2,1,1,1,$35.00 
Located in the Heart of Dublin City,IE,Ireland,53.33644329,-6.266460335,Private room,2,1,1,1,$50.00 
"Quiet, spacious, apt. close to Dublin City center.",IE,Ireland,53.32905894,-6.260157116,Entire home/apt,2,1,1,1,$108.00 
Dublin - more than meets the eye!,IE,Ireland,53.3579642,-6.24145281,Entire home/apt,6,2,3,3,$180.00 
Double room homestay close to Dublin City Centre,IE,Ireland,53.33053742,-6.214329175,Private room,2,1.5,1,1,$42.00 
Luxury Family Home Near Beach & City Centre.,IE,Ireland,53.32614219,-6.215745012,Entire home/apt,5,2,2,3,$180.00 
Perfect Location to City Centre,IE,Ireland,53.35789166,-6.236771572,Private room,1,1,1,1,$100.00 
Triple shared room Near City Centre,IE,Ireland,53.33701971,-6.275865399,Shared room,3,1,1,3,$25.00 
Lovely Flat at Grand Canal,IE,Ireland,53.34166196,-6.240237519,Entire home/apt,2,1,1,1,$85.00 
Double Bed Apartment 10 minutes from the city,IE,Ireland,53.3127029,-6.250582068,Entire home/apt,2,1,1,1,$100.00 
New York loft style apartment,IE,Ireland,53.34222625,-6.245126709,Entire home/apt,4,1,2,2,$550.00 
Beautiful Victorian 3-bed home.,IE,Ireland,53.33494787,-6.28340787,Entire home/apt,7,2,3,4,$150.00 
"Traditional Home , Warm, Clean and inviting",IE,Ireland,53.36660214,-6.190246352,Private room,1,1.5,1,1,$45.00 
Lovely Double Room in comfortable Dublin home,IE,Ireland,53.38299955,-6.173502156,Private room,2,1,1,2,$38.00 
Stunning 2-bed terraced home in Dublin city centre,IE,Ireland,53.34202466,-6.282717749,Entire home/apt,6,1.5,2,3,$100.00 
!2 Bed - Duplex beside Christchurch,IE,Ireland,53.34480985,-6.267839885,Entire home/apt,5,1,2,2,$199.00 
Penthouse apartment in Temple Bar,IE,Ireland,53.34520005,-6.269390326,Private room,2,1,1,1,$70.00 
Lovely double room in city center!,IE,Ireland,53.3535918,-6.248128415,Private room,1,1,1,1,$50.00 
Cozy and bright room in penthouse.,IE,Ireland,53.35211526,-6.251150132,Private room,3,1,1,2,$50.00 
"Stylish, tasteful apt in trendy Ballsbridge area",IE,Ireland,53.32682076,-6.231079334,Private room,2,1,1,1,$72.00 
Double room close to Dublin  Airport /City Centre,IE,Ireland,53.39657202,-6.26371559,Private room,2,1,1,1,$58.00 
Modern cosy flat next to the city center,IE,Ireland,53.3422209,-6.243284412,Private room,2,1,1,1,$75.00 
Cozy room beside the Canal,IE,Ireland,53.33079923,-6.25103771,Private room,2,1,1,1,$62.00 
"Beautiful 2 bed, beside city centre",IE,Ireland,53.3282051,-6.261787978,Entire home/apt,4,1,2,2,$200.00 
Dublin Downtown,IE,Ireland,53.33991805,-6.242198554,Entire home/apt,6,1,2,4,$50.00 
"Entire Dublin House, Central Location",IE,Ireland,53.32065991,-6.301707146,Entire home/apt,4,1,2,2,$75.00 
"Charming, Quirky, Victorian house ",IE,Ireland,53.3576057,-6.270994198,Private room,2,1,1,1,$39.00 
